,Album,Tracks,Features,Producer,Writer,Year,Lyrics,Length
10,Superstar,Eme Boyz,"Skales, Banky W",Masterkraft,"Ayodeji Balogun, Raoul Njeng-Njeng, Olubankole Wellington
",2011.0,"""Baddest Boy""Yea! Yeeaaaahh
Emezzy
Yea!
S to the K
Wizzy
E no easy
Repping Emezzy
I am the baddest boy
Ko le
I am the baddest boy
Who say
I am the baddest boy
Ask around
I am the baddest boy

Ogbeni Wizzy
Se ko si
You too dey form, ki lo foshi
I love my life, mo bo nu oshi
The God wey dey bless me no dey sleep
Oya everybody sare wo le
L'odu tuntun e ma kole mole
L'odu tuntun e ma bi mo le mo
L'odu tuntun e ma fayo sayo
Oya oya oya everybody


Follow me follow me follow me go oh
S to the K and Wizzy run the show oh
Eme boyz so fly we dey go oh
Bad belle people please carry go oh
Follow me follow me follow me go oh
S to the K and Wizzy run the show oh
Eme boyz so fly we dey go oh
Bad belle people please carry go oh
I am blessed and I thank my God
Forget the silver or gold
Them pray make I fall but whatever I touch turns into gold

Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy
A ti de de de de, I am the baddest boy
A ma le won lere, I am the baddest boy
Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy
A ti de de de de, I am the baddest boy
A ma le won lere, I am the baddest boy

Every day I go, the man feeling like a king
Me another bruda who can rap, who can sing better
I get more cheddar, oshe
Popping louder than a bottle of Rose
I am a soldier in case you want to start a fight
Nigeria's rap messiah, I get it right
They know I'm the bomb, I'm a dynamite
I'm hot 400 degrees Fahrenheit


Follow me follow me follow me go oh
S to the K and Wizzy run the show oh
Eme boyz so fly we dey go oh
Bad belle people please carry go oh
Follow me follow me follow me go oh
S to the K and Wizzy run the show oh
Eme boyz so fly we dey go oh
Bad belle people please carry go oh
I am blessed and I thank my God
Forget the silver or gold
Them pray make I fall but whatever I touch turns into gold

Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy
A ti de de de de, I am the baddest boy
A ma le won lere, I am the baddest boy
Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy

At'll, at'll, na we bad pass
Dem boyz rascals, na we dey teach class
We no dey look face, we just only see cash
We gon spend the night at my place
Make her breakfast
They know who the best be
They take shots but we are bullet proof vesting
Watch who you stepping to, you don't wanna test me
You talk beef like you want some
Well my team is just too strong
The wait is over and we already won
All we do is win and all you do is run
When it comes to talking shit, you make the loudest noise
When it comes to making hits, we're the hottest squad
Young Skales and Wizzy, they're the baddest boyz
[…] and I'm the baddest boss. Rahh!


Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy
A ti de de de de, I am the baddest boy
A ma le won lere, I am the baddest boy
Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy

They run the city and they killing every show
Team EME all day you should know
They love that EME boy
They want to do that EME boy
Yea! Yea! Yea!
They run the city and they killing every show
Banky, Skales, Wizzy, we be killing every show
They love that EME boy
They want to do that EME boy
Yea! Yea! Yea!
I am blessed and I thank my God
Forget the silver or Gold
Them pray make I fall but whatever I touch turns into gold

Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy
A ti de de de de, I am the baddest boy
A ma le won lere, I am the baddest boy
Won le le le le, I am the baddest boy
Won le ba ba ba, I am the baddest boy",3:57
11,Superstar,What You Wanna Do?,,Samklef,Ayodeji Balogun,2011.0,"Watchu wanna d-d-d-d-do?
Watchhu wanna do?
Watchu wanna do?

Said its wizzy baby
Reppin the eme-zy baby
I'm feelin cool tonight
I wanna go out and have some fun tonight ey
Call up my boy Skales and say my man Banky
Lets go chill and party
It's our year no worries
DJ play my song, Let it play all night long
EME-zy in the building
I wanna dance all night long
I don't care what you're feeling
I don't care what they say
It's my year no worries
Wh-Wh-What you wanna do tonight

I wanna celebrate
Watchu wanna do tonight?
I wanna jubilate
Watchu wanna do tonight?

Chill, go slow my lady
There is no need to go
Please, Go low my lady
Nobody has to know
Please wind it slow my lady
You making me lose control
Ease go low my lady
And just wind it for me
Baby get freaky on me
Baby get freaky on me
Baby just dance it for me
Baby get freaky on me
Baby that's my song
Baby get freaky on me, freaky on me
Wh-Wh-Whatchu wanna do tonight


I wanna, I wanna, I wanna
Oya go komole
Go go go go go low, go go go go go low
Go low, go low, go low, go low
Baby, go low, go low, go low, go low
Baby go high, go high, go high, go high",3:19
12,Superstar,For Me,Wande Coal,Jay Sleek,"Ayodeji Balogun, Oluwatobi Ojosipe",2011.0,"Eh yeah oh yes
Wizzy
E.M.Ezy haha
Okay oh yeah!

(Sarz on the beat)

{Wizkid}
Hey sexy lady
I want you in my life
And I want you to be my wife
Baby girl just you and I

Oh my baby you too fine oh
You dey make me dey loose my mind
This feeling is killing inside
Wanna see you everyday of my life
I've traveled to the East to the North to the West
I've never seen a girl like you

You too fine
You got to be my boo
Baby girl just me and you
Fine fine girl don come my way
Still never seen a girl like you
You too fine you got to be my boo
Baby girl you getting me high


{}
Oya dance for me baby oh eh
Dance for me baby oh eh
Oya give it to me baby oh eh
Give it to me baby oh eh
Oya move for me baby oh eh
Move for me baby oh eh
Oya give it to me baby oh eh
Give it to me baby oh eh

{Wizkid}
Oya oya werre werre
Oya oya werre werre key yamasa
Wizzy baby wizzy baby lowon shere
Oya baby baby baby baby sare wole, ah

Oya oya werre werre
Oya oya werre werre key yamasa
Wizzy baby wizzy baby lowon shere
Oya everybody, everybody sare wole
Oya baby go low whine your waist
If them ask you say na Wizzy baby eh
My song the make many people to dey para
When I step on stage girls start to craze ah
Look what I've done I'm a bad boy
I'm young and I'm in charge boy
I'm getting money in large gon
And I want you to move
Baby dance for me


{}
Oya dance for me baby oh eh
Dance for me baby oh eh
Oya give it to me baby oh eh
Give it to me baby oh eh
Oya move for me baby oh eh
Move for me baby oh eh
Oya give it to me baby oh eh
Give it to me baby oh eh

{Wizkid}
Say I believe you light up my life
Girl I'm so happy inside
When I'm down, down on my knees
With no one to turn to
I want you to stand by my side
Till the end

{}
Oya dance for me baby oh eh
Dance for me baby oh eh
Oya give it to me baby oh eh
Give it to me baby oh eh
Oya move for me baby oh eh
Move for me baby oh eh
Oya give it to me baby oh eh
Give it to me baby oh eh",3:45
13,Superstar,Holla at Your Boy,,DJ Klem (Knighthouse),Ayodeji Balogun,2011.0,"Paroles de la chanson Holla At Your Boy :
When you see me come around
I got you looking at me (got you looking at me)
I don't need to spend my cash
Cos my swag's not hard to see
Cos my swag don't lie
You can't deny
You feeling right yeah
You'll be alright just being by my side

No need for fronting (fronting girl)
Let me tell you something (something girl)
No need for long thing, cos you feel so good just standing by my side

No need for fronting (fronting girl)
Let me tell you something (something girl)
No need for long thing, cos you feel so good just standing by my side

If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy
Chilling with models....holla at your boy

If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy
Chilling with models....holla at your boy


Hey girl
You got me thinking...there's many things i can do to u
Hey girl
You got me wishing....I could take you home with me
Lets take one step at a time, 2 by noon
Be my girl, with you I rule
You are fresh and fly, don't deny
Nothing feels better

No need for fronting (fronting girl)
Let me tell you something (something girl)
No need for long thing, cos you feel so good just standing by my side

No need for fronting (fronting girl)
Let me tell you something (something girl)
No need for long thing, cos you feel so good just standing by my side

If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy

Chilling with models....holla at your boy

If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy
Chilling with models....holla at your boy


If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy
Chilling with models....holla at your boy

If you up tonight and you feeling alright, holla at your boy (holla at your boy)
Your jeans sag low your fresh fly boy, holla at your boy (holla at your boy)
If you up tonight and you feeling alright, holla at your boy (holla at your boy)
You are a pretty fine girl and you got no boy, holla at your boy (holla at your boy)

No need for fronting (fronting girl)
Something (something girl)
Long thing, cos you feel so good just standing by my side
No need for fronting (fronting girl)
Something (something girl)
Long thing, cos you feel so good just standing by my side

If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy
Chilling with models....holla at your boy

If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy
Chilling with models....holla at your boy


If you see me drive by....
I got more swag...
I pop more bottles....
Chilling with models....

If you see me drive by....holla at your boy
I got more swag....holla at your boy
I pop more bottles....holla at your boy
Chilling with models....holla at your bo",4:21
14,Superstar,Wad Up,D’Prince,Samklef,"Ayodeji Balogun,Charles Enebeli",2011.0,"back in the days when the girls dem see me
all of them no want tell me
wad up
even the guy them see me for street
them say i too dirty
so no wad up
but righ now when them see me pass
all of them want tell me
Wad up
they see pass in my new car
even the girls all of them say
Wad up
Back in the days ooo
they no know me so
nooo Wad up
I'm making my money now
now them them take form say
Wad up
Back in the days they no know me
for the side orise (orise)
won o surulere
pe orimi foka sibe (foka sibe)
Wad Up
see me pass i no send you
you no send me
i no send you
i dey do my thing
my way with wy clef on the beat so
Wad Up
Je n r'owo e soke (r'owo e soke)
Wad Up x2
Now when them see me pass
they throw me t'waie
they see me pass your hood fam
them throw me t'wale
Back in the days i used to wear one jeans
one shirt
and then they no dey tell me
Wad Up
they say i too dirty
i no get swagger
so they no tell me
Wad Up
But right now then send me
but me i no send you
if you no send me
i dey jones
you dey pay me
i dey my things my way they pay me
when i pass your hood all of them they see me
them call me Wizzy
Wad Up
them see me pass your hood they try to form familiarity
they say say Wad Up
I don do song wih people
i don pose well well so easy
see who dey jone now
oooooo x2
iyeeee
who sat and watched my infant head
when sleeping on my craddle bed
when tears and sickness made me cry
oya
if you know send me
oya kari make you go hug transformer
sheybi na dem talk say
all the song i sing
it get some comma
yes he com talk say
all the thing i talk na grammer
me i don learn many things
from the word of my grand mama
Thank God for the new me
now people wanna know me
back then when they saw me
them say them no know me
so if you no know me
Shut Up
if you want know me
Wad Up
Iyyyeee yeeeyeye
i be different io
I be omoba
i say dey give am to me
I be omoba
omoba
je n rowo loke...
Wad Up.
End",3:26
15,Superstar,Shout Out,,Q Beats,Ayodeji Balogun,2011.0,"As a young boy in the ghetto
Dem tell me say wizzy no go blow
As a young boy in the ghetto
Dem tell me say wizzy no go fit do show
Now dem call me star boy
Basket boy in in charge
I'm badder than them by far boy
Jah bless me, so nottin them (bad guy) fit try no fit impress me
No be me na God bless me
He put me on top so no stress me
This time won pe olowo
But I no mind dem, dem be olodo
Talking ish about me se o ya were
My matter won gbe sori bi igbede
Now bad mind people say I too booga
Dem say I too dey act like dumb baba ye
Shoutout to my real nigga God go may you bigger ohh
Shoutout to my real nigga I pray that you get bigger ohh
Shoutout to my real nigga God go may you bigger ohh
Shoutout to my real nigga I pray that you get bigger ohh
E farabale, e gba agbara le
Abegi calm down no day do lepa le
If the fight start now, na you go first panle
No dey form james bond for me yea yea
Why you dey do like monkey?
Why you dey shout like your house dey for sea?
Now you dey denge denge I dey pose
I dey fast lane no go slow soo
E farabale, e gba agbara le
Abegi calm down no day do lepa le
If the fight start now, na you go first panle
No dey form james bond for me yea yea
Why you dey do like monkey?
Why you dey shout like your house dey for sea?
Now you dey denge denge I dey pose
I dey fast lane no go slow soo
Shoutout to my real nigga God go may you bigger ohh
Shoutout to my real nigga I pray that you get bigger ohh
Shoutout to my real nigga God go may you bigger ohh
Shoutout to my real nigga I pray that you get bigger ohh
E yea God go make you bigger oo
Sammy lowkey God go make you bigger oo
Banky W God go make you bigger oo
Wczeey God go make you bigger oo
Osagie hah God go make you bigger oo
By pa noni God go make you bigger oo
Rotimi Rudeboy God go make you bigger oo
Lolu rehab God go make you bigger oo
Ayo Banks oo God go make you bigger oo
For my real guys God go make you bigger oo
Yeahh God go make you bigger oo
God go make you bigger ooo",2:44
16,Superstar,Wiz Party (Bonus Freestyle Leak),,,Ayodeji Balogun,2011.0,"It's your boy Wizzy. yea
And I am repping Emeazy. yea
Yea oohhh oohhh
Maybe it was a dream but I know once we've been together
Girl I showed you love
You chose to promise me forever
I no go lie, I no be the type to scope you
I don give you my heart
Baby girl I will love you
I think I met you before girl
You light up my world girl
You must be a super star
I wanna know who you are
I wanna be where you are (where you are, where you are)
It's true the girls they love me why me
Baby I swear na you dey high me
Forget the girls they just try me
Baby I swear na you dey high me
It's true the girls they love me why me
Baby I swear na you dey high me
Forget the girls they just try me
Baby I swear na you dey high me
The way you whine a (Oshe…say na you dey high me)
You move a (Oshe…say na you dey high me)
You sexy a (Oshe…say na you dey high me)
You whine a (Oshe…baby na you dey high me)
The way you whine a (Oshe…say na you dey high me)
You move a (Oshe…say na you dey high me)
You sexy a (Oshe…say na you dey high me)
You whine a (Oshe…baby I swear na you dey high me)
The way you whine a (Oshe…)
Na me and you (today)
The way you grind (Mo gbe…mi o le fi e sere)
Baby be mine, baby be mine, be mine mine mine
Na you I dey find, na you I dey find, find find",4:00
17,Ayo,Jaiye Jaiye,Femi Kuti,Sarz,Ayodeji Balogun,2014.0,"[Intro: Wizkid & Femi Kuti]
Arararara
Ororororo
Yah
As you can see (Oh yes)
You are all very welcome (Very very welcome)

[Verse 1: Wizkid]
Mo fe kole fun mama mi
Mo fe rale fun baba mi
Aiye ni miami
Maserati fun iyawo mi
Ferrari, Versace
Ferragamo, Bugatti
Owo lo dun to yi
Mo fe lowo bi Adenuga
Mo fe fe Esosa
Ngozi penperenpe
All of them for me
Ati Tee baby now
You cannot believe what I have seen with my eyes
Say my people it is a beautiful story (Na na na)
See I fought through defeat now I am living a better life
And I’m thankful for the life that I am living (Nuh nuh)

[Hook: Wizkid]
Wizzy baby loke loke
Seb’Oluwa lo se o
Owo n wole wa
Seb’Oluwa lo se o ah
Lagos today and London tomorrow
Oluwa lo se o
Omo jaiye jaiye
Seb’Oluwa lo se oh ah
Wizzy baby loke loke
Seb’Oluwa lo se o
Owo n wole wa
Seb’Oluwa lo se o ah
Lagos today and London tomorrow
Oluwa lo se o
Omo jaiye jaiye
Seb’Oluwa lo se oh ah


[VERSE 2: Wizkid]
I’m balling I’m balling
I’m balling for two
Let nobody do me bad or intrude
I’m balling I’m balling
I’m balling for two
Let nobody do me bad or intrude
Wizzy bad musician
Sarz bad producer
Ahhh you already know
We run every show
Owo n la wole (Amen)
A kole mole (Amen)
Maserati, Ferrari (Amen)
Ferragamo, Bugatti (Amen)
Owo nla wole (Amen)
A kole mole (Amen)
Maserati, Ferrari (Amen)
Ferragamo, Bugatti (Amen)

[Hook]
Wizzy baby loke loke
Seb’Oluwa lo se o
Owo n wole wa
Seb’Oluwa lo se o ah
Lagos today and London tomorrow
Oluwa lo se o
Omo jaiye jaiye
Seb’Oluwa lo se oh ah
Wizzy baby loke loke
Seb’Oluwa lo se o
Owo n wole wa
Seb’Oluwa lo se o ah
Lagos today and London tomorrow
Oluwa lo se o
Omo jaiye jaiye
Seb’Oluwa lo se oh ah


[Verse 3: Wizkid]
Yaga
If you call am woman
African woman no go 'gree (She go say ""I be lady o"")
If you call am woman
African woman no go 'gree (She go say ""I be lady o"")
She go say I be lady
Seb’Oluwa lo se o
She go say I be lady
Seb’Oluwa lo se o ah
She go say I no be woman
Oluwa lo se o
She go say I be lady
Seb’Oluwa lo se o ah
She go say I be lady
Seb’Oluwa lo se o
She go say I be lady
Seb’Oluwa lo se o ah
She go say I no be woman
Seb’Oluwa lo se o
She go say I be lady
Seb’Oluwa lo se o ah

[Outro Solo: Femi Kuti]",4:06
18,Ayo,Show You The Money,,Shizzi,Balogun,2014.0,"[Intro]
Yaaga
Wizzy
Shizzy

[Pre-Chorus]
Are you gonna dance o
If I show you my money
Are you gonna dance o
If I show you the way
Are you gonna dance o
If I show you my pocket
Baby, are you gonna dance o
If I show you my wallet

[Chorus]
I will show you the money o eh eh
Baby dance for me o eh eh
Baby move for me o oh oh
Don't go funny oh oh eh eh
I will show you the money o eh eh
Baby dance for me o eh eh
Show me your body o
Don't go funny oh oh eh eh

[Verse 1]
African, African, African, African baby, oh yeah
See African, African, African, African baby o
Aro eh
The money too much I'm dashing
Are you feeling my singing
Pass whatever you're thinking o
Can't you see what I'm feeling now
Lagos to Dubai
Abuja to Mozambique
Jo'borg to Mumbai
Na Wizzy music they want to dance to


[Pre-Chorus]
Are you gonna dance o
If I show you my money
Are you gonna dance o
If I show you the way
Are you gonna dance o
If I show you my pocket
Baby, are you gonna dance o
If I show you my wallet

[Chorus]
I will show you the money o eh eh
Baby dance for me o eh eh
Baby move for me o oh oh
Don't go funny oh oh eh eh
I will show you the money o
I will, baby dance for me o eh eh
Show me your body o
Don't go funny o eh eh

[Verse 2]
Minie minie mani mo
Baby give me all your loving
Minie minie mani mo
I no go take your love for granted
Baby baby, faya gbe jo
Baby you and I just dey go
Don't let bad mind stop our flow
Baby make we just dey go eh
The money too much I'm dashing
Are you feeling my singing
Buy whatever you're thinking o
Can't you see what I'm feeling now
Lagos to Dubai
Abuja to Munzabi
Jubok to Mumbai
Na Wizzy music they want to dance to


[Pre-Chorus]
Are you gonna dance o
If I show you my money
Are you gonna dance o
If I show you the way
Are you gonna dance o
If I show you my pocket
Baby, are you gonna dance o
If I show you my wallet

[Chorus]
I will show you the money o eh eh
Baby dance for me o eh eh
Baby move for me o oh oh
Don't go funny oh oh eh eh
I will show you the money o
I will, baby dance for me o eh eh
Show me your body o
Don't go funny oh oh eh eh

I will show you the money o eh eh
Baby dance for me o eh eh
Baby move for me o oh oh
Don't go funny oh oh eh eh
I will show you the money o
I will, baby dance for me o eh eh
Show me your body o
Don't go funny oh oh eh eh",3:11
19,Ayo,In My Bed,,Uhuru,Balogun,2014.0,"Aro o
Shoki
Shoki
Wizzy

Americana wonder
The way you whine your body
Gimme thunder
Girl, i go follow you bumper to bumper
Girl, i go follow you bumper to fender
Oh baby ohh whine your waist
Girl, i promise to be your defender
Girl, i go love january to december
Tell dem hater, send back to sender

Oh baby oh whine your waist
Oh baby oh whine your waist
Oh baby, you make me craze
Oh baby, you make me craze
Girl, i be loving you everyday
Girl, i’m loving you everyday
Let nothing come our way
Let nothing come our way

I want your body sleeping in my bed e
I want your body sleeping in my bed e
You got me going crazy
Oh girl, i can’t explain it
Your body so insane
Oh girl, i can’t replace you


You gat me going crazy
Oh girl, i can’t explain it
Your body so insane
Oh girl, i can’t replace you

Balogun eleniyan
Wizzy eleniyan
Ogunmola eleniyan
Agbaje eleniyan
Fashola eleniyan
Tinubu eleniyan
Otedola eleniyan
Ah wizzy eleniyan

Bana eleniyan
Baruwa eleniyan
Igimu eleniyan
Aluko eleniyan
Aliko eleniyan
Saraki eleniyan
Agbaje eleniyan
Ah wizzy eleniyan

Oh blessing follow me
Everywhere i go, i’m serving the living God
And everywhere, i go all my people show me love
Just tell me the reason gan
And so people still try to bad mouth me
Just tell me the reason gan
Shey na because God dey blessing everyday
Just tell me your feeling gan
Oh anytime, they hear my song
They say i’m amazing gan
And people dem know say wizzy baby bad
Them say i’m the baddest gan
But some people think say dem bad pass me
But nobody badder gan
And any party wey i go
I march up the place
I turn on the feeling gan


I want your body sleeping in my bed e
I want your body sleeping in my bed e
You got me going crazy
Free naija lyrics dot com

Balogun eleniyan
Wizzy eleniyan
Ogunmola eleniyan
Agbaje eleniyan
Fashola eleniyan
Tinubu eleniyan
Otedola eleniyan
Ah wizzy eleniyan

Bana eleniyan
Baruwa eleniyan
Igimu eleniyan
Aluko eleniyan
Aliko eleniyan
Saraki eleniyan
Agbaje eleniyan
Ah wizzy eleniyan

Aro o
Shoki
Wizzy",3:50
20,Ayo,Mummy Mi,,Spellz,Balogun,2014.0,"[Intro]
Listen
Eh na na na na
Eh na na
O ni fe mi lokan
O gbe oyun mi fun osun mesan
O pon mi fun odun meta o
O a mama mi
O ni fe mi lokan
O gbe oyun mi fun osun mesan
O pon mi fun odun meta o

[Chorus]
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will be there for you
I love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will do anything for you
Mama, i will love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will be there for you o
I love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will do anything for you
Mama, I will love you forever


[Bridge]
Eh na na na na
Na na na na na

[Verse 1]
Eh mama, o nife mi lokan
O gbe oyun mi fun osun mesan
O pon mi fun odun meta o
O a mama mi
O ni fe mi lokan
O gbe oyun mi fun osun mesan
O pon mi fun odun meta o
Mama ki lo fe ra? I will buy you ferrari
Mama ki lo fe ra? I will buy you bugatti
Mama se ile lo fe? I go buy two for Ghana
B'owo se n wo'le wa, I go buy you all need

[Chorus]
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will be there for you
I will love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will do anything for you
Mama, i love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will be there for you o
I love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will do anything for you
Mama, i go love you forever


[Bridge]
Eh na na na na
Na na na na na

[Verse 2]
Oya tell me tell me, why I no go love mama
Oya tell me tell me, why I no go love mama
Omo she make tea for me, and she buy bread for me
Oya tell me tell me, why I no go love mama
I love you mama yes, yes I love you yes
Mama i will never leave you
Till the end mama yes
Mama I love you love you yes
Yes, I love you mama mi
E ba mi ki mama mi
Iya Olubusayo
Mama i love you love you yes

[Chorus]
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will be there for you
I will love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will do anything for you
Mama, I love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will be there for you o
I love you forever
Mummy mi o, mummy mi o, mummy mi o, mummy mi o
I will do anything for you
Mama, I will love you forever",3:17
21,Ayo,"""Ojuelegba""",,Legendury Beatz,Balogun,2014.0,"[Intro]
(It's Legendury Beatz)
Yea, yea, yea, yea
Wizzy baba o
Dami loun oluwa wizzy

[Verse 1]
Ni ojuelegba
They know my story, from Mo'Dogg's studio
I be hustle to work, ehh
Ni ojuelegba, o
Me and Silly, from Mo'Dogg's studio
We been hustle to work, ehh
Ni ojuelegba, o
My people dey there, my people suffer
Dem dey pray for blessing, ehh
Ni ojuelegba, o
My people dey there, dem dey pray for blessing
For better living, eh, eh
Kilo dale
Aiye o le to yen o
Aiye o ni double
Adura lo le se o
Call on daddy, baba God
Adura a gba o
Tisu eni ba dele
A fowo bo n je


[Chorus]
I am feeling good tonight
This thing got me thanking God for life
Oh, I can’t explain
I can’t explain, eh, yea
I am feeling good tonight
This thing got me thanking God for life
I can’t explain
I can’t explain, eh, yea
I say

[Verse 2]
Ni ojuelegba
They know my story, from Mo'Dogg's studio
I be hustle to work, eeh
Ni ojuelegba
Me and Silly from Mo'Dogg's studio
We been hustle to work
See eh e kira fun mummy mi o
Ojojumo lo n s’adura
Mon jaiye mi won ni won soro ju
Ojojumo owo n wole wa
E kira fun mummy mi o
Ojojumo lo n s’adura
Mon jaiye mi won ni won soro ju
Won ni won ni won soro ju


[Chorus]
I am feeling good tonight
This thing got me thanking God for life
Oh I can’t explain
I can’t explain, eh, yea
I am feeling good tonight
This thing got me thanking God for life
Oh I can’t explain
I can’t explain, eh, yea

[Outro]
Suka Sounds
Yea, eh, eh",3:36
22,Ayo,"""Kind Love""",,Del B,Balogun,2014.0,"[Intro]
Eh eh del b wizzy baby o
Eh mama le le
Le le le eh mama le le
Eh le mama le le

[Chorus]
The kind of love you are giving me baby ah
It's a necessary o
The kind of love you are showing me baby eh
It's a necessary o
The kind of love you are giving me baby ah
It's a necessary o
The kind of love you are showing me baby eh
It's a necessary o
If you leave me i go die o baby
Girl na mortuary o
If you leave me i go kpai o
Na obituary o
Say i dey feel your body die o
Baby physically o
I go spend my money die o
Till e finish o

[Verse 1]
Eh lobatan, baby ko ni tan
Shebi the love wey i get for you, ko ni tan
Eh lobatan, baby ko ni tan
Shebi the love wey i get for you, ko ni tan
Because the love wey i get for you baby e pass sugar gan
See baby love wey i get for you long pass river niger gan
See baby love wey i get for you e pass any ocean gan
Say i will never ever play you like Maradona


[Chorus]
The kind of love you are giving me baby ah
It's a necessary o
The kind of love you are showing me baby eh
It's a necessary o
The kind of love you are giving me baby ah
It's a necessary o
The kind of love you are showing me baby eh
It's a necessary o
If you leave me i go die o baby
Girl na mortuary o
If you leave me i go kpai o
Na obituary o
Say i dey feel your body die o
Baby physically o
I go spend my money die o
Till e finish o

[Verse 2]
Eh eh na you
Eh baby na you
Na you dey make me just dey ponlogo kiri
Acting a fool
Eh na you o oya baby na you
Na you just dey make me just dey run around
The place the way i do


[Bridge]
My love number one in town baby o ah ah
Anything just to please you baby ah
My love number one in town baby o ah ah
Anything just to please you baby ah

[Chorus]
The kind of love you are giving me baby ah
It's a necessary o
The kind of love you are showing me baby eh
It's a necessary o
The kind of love you are giving me baby ah
It's a necessary o
The kind of love you are showing me baby eh
It's a necessary o
If you leave me i go die o baby
Girl na mortuary o
If you leave me i go kpai o
Na obituary o
Say i dey feel your body die o
Baby physically o
I go spend my money die o
Till e finish o

[Bridge]
My love number one in town baby o ahn ahn ahn ahn
Anything just to please you baby ahn ahn ahn ahn
My love number one in town baby o ahn ahn ahn ahn
Anything just to keep you baby ahn ahn ahn ahn
My love number one in town baby o ahn ahn ahn ahn
Anything just to keep you baby ahn ahn ahn ahn
My love number one in town baby o ahn ahn ahn ahn
Anything just to keep you baby ahn ahn ahn ahn


[Outro]
My love o ahn ahn ahn ahn
Eh eh eh eh eh yea
Ahn ahn",3:51
